"OS_TOID","EASTING","NORTHING","LATITUDE","LONGITUDE","OA","LSOA","MSOA","WARD_CODE","WARD","ADMINISTRATIVE_AREA","KWH","PEAK_KW","DECS","EPCS","RESI_COUNT","NONRESI_COUNT","DEMAND_ESTIMATION_METHOD"
"osgb1000001802761352",531351,181320,51.5155427,-0.1083831,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",2396656.25665154,685.00390625,0,0,0,5,"Building geometry prediction"
"osgb1000001802761353",531348,181361,51.5159118,-0.108411,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",1083775.12264052,321.724731445312,0,1,0,8,"Building geometry prediction"
"osgb1000001802761359",531388,181368,51.5159654,-0.1078323,"E00190440","E01032740","E02000001","E05009297","Castle Baynard","CITY OF LONDON",1840425.10359693,531.092651367188,0,0,0,5,"Building geometry prediction"
"osgb1000001802770111",532899,181249,51.5145429,-0.0861136,"E00166755","E01032739","E02000001","E05009312","Walbrook","CITY OF LONDON",2759926.65537137,785.522277832031,0,5,0,4,"Building geometry prediction"
"osgb1000001802771529",532370,181321,51.515314,-0.0937057,"E00000021","E01000002","E02000001","E05009298","Cheap","CITY OF LONDON",3377663.20601146,956.452331542969,0,1,0,2,"Building geometry prediction"
"osgb1000001802771532",532469,181261,51.5147516,-0.0923023,"E00166757","E01032739","E02000001","E05009298","Cheap","CITY OF LONDON",390756.140681609,129.963714599609,0,0,0,2,"Building geometry prediction"
"osgb1000001802771535",532324,181207,51.5143003,-0.094411,"E00000024","E01032739","E02000001","E05009298","Cheap","CITY OF LONDON",860537.089473885,259.953887939453,0,1,0,3,"Building geometry prediction"
"osgb1000001802772653",531486,181582,51.5178658,-0.1063409,"E00190440","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",1120111.51172843,331.779144287109,0,1,0,1,"Building geometry prediction"
"osgb1000001802772769",531460,181579,51.5178449,-0.1067165,"E00190440","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",162662.218367788,66.8492584228516,0,0,0,1,"Building geometry prediction"
"osgb1000001802779486",531813,181539,51.5174033,-0.1016469,"E00190426","E01032740","E02000001","E05009305","Farringdon Without","CITY OF LONDON",312813.778961492,108.396766662598,0,0,0,1,"Building geometry prediction"
"osgb1000001802781004",532465.01,180856.560000001,51.511118,-0.0925117,"E00166757","E01032739","E02000001","E05009303","Dowgate","CITY OF LONDON",735973.360391526,225.48664855957,0,0,0,2,"Building geometry prediction"
